"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/assert-use.php:3:12:3:16""]].","/lang/security/assert-use.php","6","8","6","15"
"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/assert-use.php:3:12:3:16""]].","/lang/security/assert-use.php","12","8","12","19"
"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/audit/assert-use-audit.php:7:8:7:12""]].","/lang/security/audit/assert-use-audit.php","7","8","7","25"
"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/audit/assert-use-audit.php:10:8:10:13""]].","/lang/security/audit/assert-use-audit.php","10","8","10","21"
"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/injection/tainted-callable.php:12:22:12:26""]].","/lang/security/injection/tainted-callable.php","12","22","12","38"
"Code injection","User input reaches a code evaluation, enabling Code injection.","error","This code evaluation depends on a [[""user-provided value""|""relative:///lang/security/injection/tainted-object-instantiation.php:3:23:3:30""]].","/lang/security/injection/tainted-object-instantiation.php","7","19","7","33"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/injection/tainted-exec.php:3:14:3:18""]].","/lang/security/injection/tainted-exec.php","6","8","6","22"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/injection/tainted-exec.php:3:14:3:18""]].","/lang/security/injection/tainted-exec.php","16","16","16","30"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/injection/tainted-exec.php:3:14:3:18""]].","/lang/security/injection/tainted-exec.php","20","16","20","33"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/tainted-exec.php:3:13:3:20""]].","/lang/security/tainted-exec.php","5","6","5","30"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/tainted-exec.php:13:12:13:20""]].","/lang/security/tainted-exec.php","16","8","16","11"
"Command injection","User input reaches a shell command, enabling Command injection.","error","This shell command depends on a [[""user-provided value""|""relative:///lang/security/tainted-exec.php:31:8:31:13""]].","/lang/security/tainted-exec.php","37","14","37","17"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///lang/security/file-inclusion.php:3:15:3:19""]].","/lang/security/file-inclusion.php","6","8","6","20"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///lang/security/file-inclusion.php:3:15:3:19""]].","/lang/security/file-inclusion.php","12","13","12","25"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///lang/security/file-inclusion.php:3:15:3:19""]].","/lang/security/file-inclusion.php","18","8","18","20"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///lang/security/file-inclusion.php:3:15:3:19""]].","/lang/security/file-inclusion.php","24","13","24","25"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///lang/security/file-inclusion.php:3:15:3:19""]].","/lang/security/file-inclusion.php","30","8","30","30"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:4:21:4:28""]].","/lang/security/redirect-to-request-uri.php","4","8","4","43"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:7:20:7:27""]].","/lang/security/redirect-to-request-uri.php","7","8","7","42"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:10:21:10:28""]].","/lang/security/redirect-to-request-uri.php","10","8","10","47"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:13:21:13:28""]].","/lang/security/redirect-to-request-uri.php","13","8","13","43"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:16:21:16:28""]].","/lang/security/redirect-to-request-uri.php","16","8","16","43"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:19:21:19:28""]].","/lang/security/redirect-to-request-uri.php","19","8","19","40"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:25:40:25:47""]].","/lang/security/redirect-to-request-uri.php","25","8","25","62"
"Open redirect","User input reaches a HTTP header, enabling Open redirect.","error","This HTTP header depends on a [[""user-provided value""|""relative:///lang/security/redirect-to-request-uri.php:28:31:28:38""]].","/lang/security/redirect-to-request-uri.php","28","8","28","53"
